iter	RMSE
0	1.09057314
1	1.079142927
2	1.067715986
3	1.055000591
4	1.045186512
5	1.034675281
6	1.023750752
7	1.012070862
8	1.002049594
9	0.9917450407
10	0.981349067
11	0.9717219277
12	0.9620160721
13	0.9520710907
14	0.9452217717
15	0.935132609
16	0.9271566619
17	0.9189391509
18	0.911000272
19	0.9033850502
20	0.8949290102
21	0.8864638987
22	0.8791814926
23	0.8722261431
24	0.8617230372
25	0.8556960259
26	0.8480734788
27	0.8402833176
28	0.8308955753
29	0.8242188931
30	0.8160260052
31	0.8070882235
32	0.7991410584
33	0.7933943531
34	0.7886394731
35	0.7808310817
36	0.7766574142
37	0.7698648466
38	0.7668627892
39	0.7593267533
40	0.752547004
41	0.7465183031
42	0.7408518785
43	0.7353383257
44	0.727305364
45	0.7221908366
46	0.7158685311
47	0.7096271206
48	0.7055861462
49	0.6974477566
50	0.6920708975
51	0.6865786717
52	0.6812499313
53	0.6744260102
54	0.6687869972
55	0.6646111081
56	0.6583918347
57	0.6528407426
58	0.6483604593
59	0.642726392
60	0.6383048462
61	0.6338706362
62	0.6274801377
63	0.620571941
64	0.6151335276
65	0.6100339162
66	0.6055915544
67	0.6029454346
68	0.5982817129
69	0.5923115498
70	0.5892129632
71	0.5850365041
72	0.5807708892
73	0.575111318
74	0.5718580132
75	0.5677915538
76	0.5639378245
77	0.5590758397
78	0.5543425076
79	0.5500090114
80	0.5476686084
81	0.5425212599
82	0.538828538
83	0.5353813565
84	0.5316380686
85	0.5280826017
86	0.5244626781
87	0.5211930139
88	0.5175167712
89	0.5148928247
90	0.5120961026
91	0.5082997941
92	0.5039275744
93	0.499383341
94	0.4959939245
95	0.4934165462
96	0.4889007323
97	0.4865062552
98	0.4838436315
99	0.4810993636
100	0.4781795895
101	0.4749763509
102	0.4714397462
103	0.4679972233
104	0.4650581072
105	0.4614064931
106	0.4595586538
107	0.4566885033
108	0.4532586605
109	0.4511632726
110	0.4491078173
111	0.4472270305
112	0.4446814288
113	0.4416277131
114	0.4382665009
115	0.4358150134
116	0.4321132079
117	0.4285891311
118	0.4264045415
119	0.4248728107
120	0.422422304
121	0.4189474953
122	0.4156232873
123	0.4119630894
124	0.4095248985
125	0.4074345857
126	0.4050126338
127	0.4019587522
128	0.3997532387
129	0.3982696539
130	0.3962475964
131	0.3938017669
132	0.3914648814
133	0.3892877998
134	0.3878503384
135	0.3851230668
136	0.3827005249
137	0.3801238308
138	0.3788635116
139	0.3774122423
140	0.3751583376
141	0.3736354744
142	0.3723315426
143	0.3709493745
144	0.3692863517
145	0.3676944875
146	0.3653793142
147	0.3642771034
148	0.361501163
149	0.3602910088
150	0.3577855638
151	0.3553606082
152	0.3539910132
153	0.3512046876
154	0.349585256
155	0.3485661979
156	0.3469601377
157	0.3450355049
158	0.343736828
159	0.3417620689
160	0.3394728206
161	0.3380433909
162	0.3354441295
163	0.334506046
164	0.3329583968
165	0.3315239988
166	0.3300875656
167	0.3278363659
168	0.3252074345
169	0.3234920705
170	0.3224596547
171	0.3200372493
172	0.3174503397
173	0.316343442
174	0.3152268858
175	0.3130157091
176	0.3118725059
177	0.3092724176
178	0.3077633017
179	0.3068341109
180	0.3057087457
181	0.3044668615
182	0.3026628029
183	0.3003536237
184	0.2995089946
185	0.2970024199
186	0.295587321
187	0.2929447314
188	0.2916373334
189	0.2906060561
190	0.2889393996
191	0.2880242687
192	0.2867109049
193	0.2856536076
194	0.2848957506
195	0.2839319551
196	0.2831362055
197	0.2818895798
198	0.2792882418
199	0.2784340139
200	0.2768842276
201	0.2759146786
202	0.27344685
203	0.2725264551
204	0.2712565546
205	0.2703339844
206	0.2694241956
207	0.2685911524
208	0.2672447561
209	0.2664329638
210	0.265569505
211	0.2642175481
212	0.2628211176
213	0.2602918947
214	0.2584770485
215	0.2578396351
216	0.2565029223
217	0.2557035905
218	0.2549154732
219	0.2528324399
220	0.2520644417
221	0.2513072411
222	0.2489399383
223	0.2469541003
224	0.2462230738
225	0.2444520689
226	0.2437387909
227	0.2431178679
228	0.2424220218
229	0.2417359819
230	0.2410596219
231	0.240392817
232	0.2385646671
233	0.2379637624
234	0.2373205397
235	0.2366864088
236	0.2345027518
237	0.2338848633
238	0.2314293745
239	0.2301049345
240	0.2285246893
241	0.2277156231
242	0.2260059268
243	0.2254289304
244	0.2248600967
245	0.2232127971
246	0.2226572705
247	0.2210825752
248	0.2203261191
249	0.2179032964
250	0.2163812223
251	0.2156983879
252	0.215176979
253	0.2136892852
254	0.2131802222
255	0.2118398964
256	0.2113414514
257	0.2108501557
258	0.2094006819
259	0.2089210688
260	0.208248294
261	0.2077801392
262	0.2059824892
263	0.2055240423
264	0.2041288676
265	0.2023205779
266	0.2002798699
267	0.1998429527
268	0.1986362127
269	0.1965627323
270	0.1959492236
271	0.1955296175
272	0.1949330066
273	0.1945235747
274	0.1925920322
275	0.1918122441
276	0.1898373265
277	0.1879029339
278	0.1871548132
279	0.1865996196
280	0.1850344014
281	0.1832505297
282	0.1827157034
283	0.1809700619
284	0.1804512919
285	0.180094087
286	0.1795897977
287	0.1779088113
288	0.1772309317
289	0.1758313065
290	0.1747772243
291	0.1741199122
292	0.1725084501
293	0.1718684622
294	0.1714022029
295	0.1698289347
296	0.1692102159
297	0.1680291493
298	0.167426291
299	0.1664430499
300	0.1658557516
301	0.1652801431
302	0.1643161748
303	0.1633641839
304	0.162806867
305	0.1618700502
306	0.1609953396
307	0.1604558103
308	0.1599270428
309	0.1588433284
310	0.1583281737
311	0.1574848659
312	0.1561374597
313	0.1556426351
314	0.1543265928
315	0.1538482988
316	0.153379521
317	0.1529467391
318	0.1516915416
319	0.1508857115
320	0.1496607795
321	0.149238251
322	0.1479232903
323	0.1473437254
324	0.1461615331
325	0.1449601195
326	0.1443934794
327	0.1438345848
328	0.1431452615
329	0.1424004688
330	0.1420103447
331	0.1412770964
332	0.1408959633
333	0.1401740551
334	0.139461624
335	0.1390909183
336	0.1378910866
337	0.1371978927
338	0.1360994661
339	0.1355919376
340	0.1345258828
341	0.1341731814
342	0.1336786515
343	0.1326472594
344	0.1321619598
345	0.1315504291
346	0.1310724924
347	0.1306003088
348	0.13027481
349	0.1297013283
350	0.1291345729
351	0.1285744761
352	0.1280209709
353	0.127473991
354	0.1265098042
355	0.1255712347
356	0.1252596882
357	0.1243489442
358	0.1240461282
359	0.1236153362
360	0.1231897933
361	0.1226356877
362	0.1222166253
363	0.1216972823
364	0.1211841186
365	0.120323278
366	0.1200418598
367	0.1196398517
